50	74	1
59	31	1
73	45	1
79	24	1
10	41	1
66	93	1
43	88	1
41	13	4
4	70	4
10	58	4
61	34	4
79	17	5
36	98	5
68	11	7
80	50	8
68	73	10
29	92	14
95	58	14
45	69	17
25	97	18
23	67	20
50	25	20
9	29	23
99	82	24
36	14	24
26	70	28
16	95	28
2	18	29
96	6	29
5	52	29
24	6	31
45	2	37
29	38	39
95	5	42
10	32	42
46	76	42
100	69	45
61	58	46
95	9	46
69	14	47
31	7	47
63	43	47
53	68	49
72	2	52
17	91	56
80	36	57
20	55	61
24	90	61
7	14	65
39	95	66
67	35	68
95	64	69
39	45	69
51	60	70
18	73	73
97	86	76
21	45	77
92	34	92
98	54	93
48	26	93
36	69	100
96	77	100
68	40	100
