50	74	1
59	31	1
73	45	1
79	24	1
10	41	1
66	93	1
43	88	1
4	28	1
30	41	1
13	4	1
10	58	2
100	79	4
17	36	4
98	27	4
68	11	5
34	80	5
50	80	5
22	68	5
73	94	5
86	46	6
92	95	7
58	2	7
9	45	8
69	91	8
25	97	8
23	67	10
50	25	10
2	54	10
78	9	10
29	34	10
99	82	10
36	14	10
66	15	10
26	70	12
16	95	12
30	2	12
18	96	12
6	5	12
52	99	12
89	24	12
6	83	12
67	17	13
38	39	13
2	98	14
72	29	14
38	59	14
98	95	15
10	32	16
46	76	16
36	99	16
100	69	17
13	61	17
58	95	17
9	96	17
69	14	17
31	7	17
43	66	18
83	53	18
68	22	18
96	13	18
2	91	19
32	39	19
17	91	20
41	80	20
36	7	20
73	99	20
96	20	20
55	24	20
61	6	21
27	24	21
7	14	21
71	39	21
95	21	21
45	67	21
35	27	21
39	45	23
91	51	23
60	24	23
48	86	23
18	73	23
40	48	23
86	97	23
21	45	25
69	36	25
16	26	25
35	43	25
12	80	25
45	96	26
92	34	30
70	98	30
54	48	30
26	11	30
63	12	30
78	62	31
36	69	32
96	77	32
68	40	32
75	32	32
57	2	32
73	61	32
95	85	32
56	90	32
8	16	32
70	81	33
56	7	33
64	3	33
77	9	33
32	45	34
39	9	34
52	50	35
32	15	36
76	10	37
30	24	38
55	61	38
38	46	38
18	26	38
1	57	38
65	98	38
49	5	38
51	77	39
13	55	39
98	5	39
49	66	40
100	10	41
30	54	41
48	8	42
74	23	42
6	77	42
54	25	42
31	67	42
45	71	43
86	17	43
99	56	43
34	58	43
77	79	43
67	58	43
12	79	43
15	20	43
34	92	44
21	63	44
98	32	45
89	90	45
74	78	45
5	59	45
55	61	46
16	48	46
81	31	46
56	47	46
39	1	47
58	14	49
15	94	49
61	55	49
19	58	49
30	16	50
64	3	50
18	44	50
20	68	50
70	96	51
4	74	51
4	49	51
86	59	51
60	7	51
25	33	52
74	4	52
98	21	52
32	81	53
4	1	53
21	34	53
59	4	53
77	51	53
35	81	53
33	75	54
50	43	54
72	11	55
80	84	55
41	24	56
51	72	56
30	19	56
47	100	56
22	77	57
25	45	57
59	97	57
72	65	57
61	99	57
52	41	57
4	52	57
2	6	57
75	50	59
14	21	59
13	84	60
89	18	60
9	51	60
58	12	62
91	67	62
11	94	62
54	66	62
61	43	62
4	53	62
42	11	63
100	28	64
88	15	65
26	42	65
18	49	65
43	16	65
75	46	65
21	12	66
55	6	67
30	54	67
90	67	67
57	5	67
61	99	67
93	21	67
17	81	67
53	40	68
99	2	68
12	17	68
92	72	68
29	72	68
62	46	68
21	41	68
59	54	68
51	12	69
64	95	69
34	28	69
96	32	70
43	17	70
7	16	70
25	2	70
98	62	70
4	25	70
9	37	70
82	16	70
17	6	71
74	82	71
21	92	71
70	66	71
28	37	71
29	26	71
85	68	71
50	77	71
67	68	73
21	85	73
11	59	74
12	45	74
19	35	74
26	68	74
90	19	74
26	19	75
30	35	76
28	41	76
55	41	76
97	36	76
84	49	76
66	12	76
53	65	76
38	76	77
46	11	77
93	11	78
38	100	79
48	16	79
94	80	79
30	65	79
26	90	81
59	34	81
1	90	81
71	18	81
47	39	81
39	37	82
22	20	82
97	48	82
60	88	83
36	13	83
85	90	83
85	35	83
68	20	83
16	46	83
77	62	83
26	20	83
32	4	83
99	40	84
4	80	85
66	92	85
8	25	85
66	22	85
55	7	85
51	4	85
33	42	86
78	18	87
1	90	87
66	48	87
23	80	87
18	17	87
49	63	87
30	40	87
9	4	87
58	62	87
67	22	88
58	97	88
56	31	88
56	22	89
13	94	89
28	33	89
92	99	90
53	57	90
4	40	91
15	100	91
67	36	91
44	53	92
87	20	92
51	11	92
24	70	92
6	44	92
12	32	92
93	17	92
100	72	92
40	71	92
92	58	93
34	29	93
78	11	93
77	90	94
92	35	94
5	27	95
91	23	96
91	85	97
14	42	97
28	80	97
85	38	97
71	62	97
82	66	97
33	55	98
48	78	99
63	11	99
20	51	99
78	42	99
37	21	99
100	13	99
60	57	99
53	49	100
15	45	100
19	51	100
2	96	100
